,Session 1,Session 2,Session 3,Virtual Attendee
0,The Future of Work: What You Need to Know to Navigate this Brave New World,Architecting for a Sustainable Cloud Future,Environmental Impact @ Slalom with Net Zero Cloud,False
1,Service Design: A Framework for Practical Collaboration,Architecting for a Sustainable Cloud Future,Fusion Development with the Microsoft Power Platform,True
2,Build a Bot Using PowerAutomate,Architecting for a Sustainable Cloud Future,Low Code – Meeting User Needs While Also Being Fast and Lean,True
3,Shaping the Future Through Inspiration and Innovation,Build a Bot Using PowerAutomate,Fusion Development with the Microsoft Power Platform,False
4,The Future of Work: What You Need to Know to Navigate this Brave New World,Modern Portfolio Management,Low Code – Meeting User Needs While Also Being Fast and Lean,False
5,The Future of Work: What You Need to Know to Navigate this Brave New World,Modern Portfolio Management,Build a Bot Using PowerAutomate,False
6,The Future of Work: What You Need to Know to Navigate this Brave New World,Modern Portfolio Management,Build a Bot Using PowerAutomate,False
7,Build a Bot Using PowerAutomate,Architecting for a Sustainable Cloud Future,Low Code – Meeting User Needs While Also Being Fast and Lean,True
8,The Future of Work: What You Need to Know to Navigate this Brave New World,Service Design: A Framework for Practical Collaboration,Build a Bot Using PowerAutomate,False
9,Energy Demand Nowcasting: How Machine Learning can Help Unlock ESG Enablement,Low Code – Meeting User Needs While Also Being Fast and Lean,Modern Portfolio Management,True
10,ESG 101,Modern Portfolio Management,Environmental Impact @ Slalom with Net Zero Cloud,True
11,Energy Demand Nowcasting: How Machine Learning can Help Unlock ESG Enablement,Environmental Impact @ Slalom with Net Zero Cloud,ESG 101,False
12,Low Code – Meeting User Needs While Also Being Fast and Lean,Architecting for a Sustainable Cloud Future,Build a Bot Using PowerAutomate,False
13,ESG 101,Environmental Impact @ Slalom with Net Zero Cloud,Architecting for a Sustainable Cloud Future,False
14,Shaping the Future Through Inspiration and Innovation,ESG 101,Modern Portfolio Management,False
15,Service Design: A Framework for Practical Collaboration,Modern Portfolio Management,Low Code – Meeting User Needs While Also Being Fast and Lean,False
16,Shaping the Future Through Inspiration and Innovation,Fusion Development with the Microsoft Power Platform,Build a Bot Using PowerAutomate,False
17,Shaping the Future Through Inspiration and Innovation,Modern Portfolio Management,Service Design: A Framework for Practical Collaboration,False
18,Fusion Development with the Microsoft Power Platform,Build a Bot Using PowerAutomate,Architecting for a Sustainable Cloud Future,False
19,The Future of Work: What You Need to Know to Navigate this Brave New World,Low Code – Meeting User Needs While Also Being Fast and Lean,Architecting for a Sustainable Cloud Future,False
20,The Future of Work: What You Need to Know to Navigate this Brave New World,Architecting for a Sustainable Cloud Future,Service Design: A Framework for Practical Collaboration,False
21,Fusion Development with the Microsoft Power Platform,Energy Demand Nowcasting: How Machine Learning can Help Unlock ESG Enablement,Environmental Impact @ Slalom with Net Zero Cloud,False
22,The Future of Work: What You Need to Know to Navigate this Brave New World,Architecting for a Sustainable Cloud Future,Low Code – Meeting User Needs While Also Being Fast and Lean,False
23,The Future of Work: What You Need to Know to Navigate this Brave New World,Service Design: A Framework for Practical Collaboration,Modern Portfolio Management,False
24,The Future of Work: What You Need to Know to Navigate this Brave New World,Shaping the Future Through Inspiration and Innovation,Modern Portfolio Management,False
25,Environmental Impact @ Slalom with Net Zero Cloud,ESG 101,Build a Bot Using PowerAutomate,False
26,The Future of Work: What You Need to Know to Navigate this Brave New World,Shaping the Future Through Inspiration and Innovation,Build a Bot Using PowerAutomate,False
27,Modern Portfolio Management,Shaping the Future Through Inspiration and Innovation,The Future of Work: What You Need to Know to Navigate this Brave New World,True
28,Environmental Impact @ Slalom with Net Zero Cloud,Architecting for a Sustainable Cloud Future,ESG 101,False
29,The Future of Work: What You Need to Know to Navigate this Brave New World,Modern Portfolio Management,Low Code – Meeting User Needs While Also Being Fast and Lean,False
30,The Future of Work: What You Need to Know to Navigate this Brave New World,Modern Portfolio Management,Service Design: A Framework for Practical Collaboration,False
31,Service Design: A Framework for Practical Collaboration,Build a Bot Using PowerAutomate,Modern Portfolio Management,False
32,Shaping the Future Through Inspiration and Innovation,Build a Bot Using PowerAutomate,Low Code – Meeting User Needs While Also Being Fast and Lean,False
33,Modern Portfolio Management,Service Design: A Framework for Practical Collaboration,The Future of Work: What You Need to Know to Navigate this Brave New World,True
35,Shaping the Future Through Inspiration and Innovation,Modern Portfolio Management,Build a Bot Using PowerAutomate,False
36,Shaping the Future Through Inspiration and Innovation,ESG 101,Service Design: A Framework for Practical Collaboration,False
37,Modern Portfolio Management,Architecting for a Sustainable Cloud Future,Energy Demand Nowcasting: How Machine Learning can Help Unlock ESG Enablement,False
38,Energy Demand Nowcasting: How Machine Learning can Help Unlock ESG Enablement,ESG 101,Architecting for a Sustainable Cloud Future,True
39,The Future of Work: What You Need to Know to Navigate this Brave New World,ESG 101,Shaping the Future Through Inspiration and Innovation,False
40,Shaping the Future Through Inspiration and Innovation,Fusion Development with the Microsoft Power Platform,Build a Bot Using PowerAutomate,False
41,The Future of Work: What You Need to Know to Navigate this Brave New World,Modern Portfolio Management,Service Design: A Framework for Practical Collaboration,False
42,Fusion Development with the Microsoft Power Platform,The Future of Work: What You Need to Know to Navigate this Brave New World,Build a Bot Using PowerAutomate,False
